Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12070,2022-05-16,0.0149170377,0.0188366872,0.0181492454,21,100
Market-Adjusted Model,12075,2022-05-16,0.0269904528,0.0258102793,0.0302226605,21,100
Market-Adjusted Model,12076,2022-05-16,-0.150997141,-0.139216813,-0.147764933,21,100
Market-Adjusted Model,12078,2022-05-16,-0.110497207,-0.116987397,-0.107264999,21,100
Market-Adjusted Model,12082,2022-05-16,0.0859835346,0.0998578455,0.0892157424,21,100
Market-Adjusted Model,12084,2022-05-16,0.110356948,0.1144371146,0.1135891558,21,100
Market-Adjusted Model,12098,2022-05-16,0.0161913218,0.0185063725,0.0194235295,21,100
Market-Adjusted Model,12103,2022-05-16,0.0044169199,0.0055990263,0.0076491276,21,100
Market-Adjusted Model,12105,2022-05-16,-0.032225793,-0.031841526,-0.028993585,21,100
Market-Adjusted Model,12109,2022-05-16,0.0396772167,0.045270005,0.0429094245,21,100
Market-Adjusted Model,12146,2022-05-16,-0.0364583,-0.030435056,-0.033226092,21,100
Market-Adjusted Model,12166,2022-05-16,-0.031026282,-0.028220536,-0.027794075,21,100
Market-Adjusted Model,12189,2022-05-16,-0.000835795,0.0026325068,0.002396413,21,100
Market-Adjusted Model,12209,2022-05-16,-0.034965002,-0.025745814,-0.031732794,21,100
Market-Adjusted Model,12211,2022-05-16,-0.065294038,-0.064163217,-0.06206183,21,100
Market-Adjusted Model,12219,2022-05-16,-0.007515446,-0.005088808,-0.004283238,21,100
Market-Adjusted Model,12226,2022-05-16,0.0619069994,0.0655375315,0.0651392071,21,100
Market-Adjusted Model,12266,2022-05-16,-0.006686481,0.0157174919,-0.003454274,21,100
Market-Adjusted Model,12287,2022-05-16,0.0187305206,0.0183010211,0.0219627284,21,100
Market-Adjusted Model,12289,2022-05-16,0.01204089,0.0111377847,0.0152730978,21,100
Market-Adjusted Model,12292,2022-05-16,0.0536193136,0.0555016283,0.0568515214,21,100
Market-Adjusted Model,12293,2022-05-16,-0.404255375,-0.432417571,-0.389272564,12,100
Market-Adjusted Model,12294,2022-05-16,-0.013368216,-0.008195084,-0.010136008,21,100
Market-Adjusted Model,12295,2022-05-16,0.0165596044,0.0175209423,0.0197918122,21,100
Market-Adjusted Model,12296,2022-05-16,0.0231312045,0.0247102485,0.0263634122,21,100
Market-Adjusted Model,12297,2022-05-16,0.0145055015,0.0184330051,0.0177377093,21,100
Market-Adjusted Model,12301,2022-05-16,0.0189031409,0.0213813811,0.0221353486,21,100
Market-Adjusted Model,12302,2022-05-16,0.0220874028,0.0240618166,0.0253196105,21,100
Market-Adjusted Model,12303,2022-05-16,-0.006226324,-0.001764653,-0.002994117,21,100
Market-Adjusted Model,12304,2022-05-16,0.0079393095,0.0111159008,0.0111715173,21,100
Market-Adjusted Model,12305,2022-05-16,0.0025877483,0.0052368794,0.0058199561,21,100
Market-Adjusted Model,12307,2022-05-16,-0.256559814,-0.075905238,-0.253327607,21,100
Market-Adjusted Model,12308,2022-05-16,0.1830614629,0.1717409812,0.1862936707,21,100
Market-Adjusted Model,12310,2022-05-16,-0.379144921,-0.416421344,-0.375912713,21,100
